Number,MIC,Company Name,Model Name,Problem 1,Last Date
030176T,,MERCURY MARINE,225 EFI FOURSTROKE,THROTTLE CONTROL,2006-05-03
02V093S,ANG,ANGLER BOAT CORP,18 CC,LEVEL FLOTATION,2006-03-03
021089S,FXZ,FAMOUS CRAFT INC,1600 BASIC FLATS,MAX WIGHT,2006-03-03
020106T,,MERCURY MARINE,115 EFI 4 STROKE OUTBOARD,ENGINE FLYWHELL NUT LOOSE,2006-05-02
030062T,,BLUE SEA SYSTEMS,T-1 CIRCUIT BREAKER,ELECTRICAL SYSTEM,2006-05-02
010063T,,MERCURY MARINE,MERCURY/MARINER O/B,SHIFT LINK WELD,2006-05-02
05R0947S,RDG,CHALLENGER OFFSHORE,SV 30,VENTILATION,2006-05-01
031009T,GYM,GULF COAST BOATS,GULF COAST 200,SAFE LOADING MAX PERS WT,2005-04-11
000248T,HAM,HARRIS-KAYOT INC,"""HARRIS, KAYOT, OMNI""",KILL SWITCH MAY NOT WORK,2005-06-09
030008S,DCA,DURACRAFT MARINE CORPORATION,18IPB&B AND 18IPBASS,LEVEL FLOTATION,2005-06-09
001060S,LDH,ELECTRA CRAFT,18TS,BASIC FLOTATION,2005-11-08
03R0168S,JNT,NAUTIC STAR LLC,1900 NAUTIC BAY,VENTILATION,2005-06-08
020048T,SSU,PURSUIT FISHING BOATS,3400 EXPRESS,ELECTRICAL SYSTEM,2005-06-08
05R0545S,VCN,CARAVELLE MARINE INC,187 LS BOWRIDER,LABEL; CERTIFICATION,2005-12-07
01R0424S,SLF,SMITH MARINE INC,15 FT. FISHING BOAT,LABEL; CAPACITY,2005-11-07
031014T,MBL,MAYCRAFT FIBERGLASS INC,17' FIBERGLASS SKIFF,HORSEPOWER,2005-03-07
030060T,LAR,LARSON BOATS,CABRIO 330,IGNITION PROTECTION,2005-07-06
030013S,,CRUSADER ENGINES,8.1 MPI,FUEL SYSTEM. LEAK,2005-12-05
04V051R1,GBF,OSAGE CANOES INC,14' VANTAGE PT,SAFE LOADING MAX PERS WT,2005-10-04
05R0693S,AAU,"""AIRBOATS UNLIMITED, INC""",SEMINOLE,SAFETY INFO WARNING,2005-10-04
050046T,KAW,KAWASAKI MOTORS CORP USA,"""JT900, JT1200, JT1500""",SEAT MAY NOT LATCH SECURE,2005-08-03
050045T,KAW,KAWASAKI MOTORS CORP USA,"""JT900, JT1200 , JT1500""",COOLING HOSES,2005-08-03
030132S,WEL,WELLCRAFT MARINE CORP,37 AND 47 EXCALIBUR,FUEL FILL HOSE,2005-09-02
050044T,HPS,AMERICAN HONDA MOTOR CO INC,ARX1200,STEERING CABLES DAMAGED,2005-08-02
04R0351S,SNS,SUNSTAR HOUSEBOATS INC,17 X 67 + 3 HOUSEBOAT,ELECTRICAL SYSTEM,2005-06-02
040113T,CEC,BOMBARDIER RECREATIONAL,JOHNSON,ENGINE; GASOLINE,2005-12-01
04R0059S,NGL,NIGELS BOAT REPAIRS,RED HOOK,LABEL; CAPACITY,2004-08-12
010091S,AGC,BAJA BOATS INC,33 & 36 OUTLAW & 38 SPECIAL,OVERCURRENT PROTECTION,2004-08-10
040099T,,,MAX PRO II AND III CHARGERS,OVERHEATS,2004-08-10
03R0527S,VDE,TRACY'S CUSTOM RIVERBOATS,PROGUIDE,LABEL; CAPACITY,2004-03-09
030100T,,INDMAR PRODUCTS,VARIOUS ENGINES,FUEL LINE,2004-07-08
040110T,HPS,AMERICAN HONDA MOTOR CO INC,PWCS,STEERING CABLE BRACKET,2004-07-07
040026T,,VOLVO PENTA,DIESEL ENG. D4 D6 D12D,ENGINE INCREASES RPM,2004-05-06
03R0467S,MAZ,ALASKA AIRBOATS,15 FT 6 IN AIRBOAT,LABEL; CERTIFICATION,2004-07-04
04R0053S,PZX,PINE RIVER CANOE LTD,PETERBOROUGH CANOE,HULL ID NUMBER,2004-08-03
021063S,MEY,MEYERS BOAT COMPANY INC,13 SPORTSPAL,SAFE LOADING MAX WT,2004-03-03
020091T,PLE,POLARIS INDUSTRIES INC,VIRAGE I & TXI,ENGINE; GASOLINE,2004-11-01
010180T,GLA,GLASTRON BOATS,GX 225,SEAT BASE NOT SECURE,2004-06-01
02R0897S,XHB,ISLAND ROVER HOUSEBOATS,NEW 54,VENTILATION,2003-04-11
02R0300S,EOJ,GATOR BOATS,2060,VENTILATION,2003-09-10
020126T,SSU,TIARA YACHTS,4000 & 5000 EXPRESS,TABLE LIFTING MECHANISM,2003-03-10
01R0311S,WKQ,ALSBERG BOAT WORKS INC,CLASSIC RUNABOUT,ELECTRICAL SYSTEM,2003-02-10
010024T,FJY,FANTASY CUSTOM YACHTS,UNK,GENERATOR EXHAUST (CO),2003-01-10
030142T,KAW,KAWASAKI MOTORS CORP USA,JT-1200 B1,COOLING SYSTEM,2003-09-09
001032S,DFF,DUFFY ELECTRIC BOAT CO,DUFFY 18,BASIC FLOTATION,2003-01-09
020135T,RGM,REGAL BOATS,2760 & 2860,FUEL SYSTEM SENDER LEAK,2003-07-08
030119T,,,BASS PRO XPS 5/5/5 BATT CHARGER,ELECTRICAL SYSTEM,2003-10-07
01R0065S,NYL,NORRIS YACHTS INC,83 FT. WIDE BODY HOUSEBOAT,BREAKER NOT IGN. PROTECT,2003-06-06
000150T,YAM,YAMAHA MOTOR CORP USA,115 - 250HP OUTBOARD MOTORS,FUEL SYSTEM,2003-03-06
020076T,,MERCURY MARINE,MCM 4.3L 5.0L 5.7L 350 MAG,SHIFTER DELAY,2003-09-05
02R0362S,JRS,JERSEY MARINE INDUSTRIES,SILVERHAWK,FUEL SYSTEM FILL NOT GROU,2003-03-03
021067S,YAR,YAR-CRAFT INC,1785 WRANGLER DC,LEVEL FLOTATION,2003-01-02
030118T,HPS,AMERICAN HONDA MOTOR CO INC,"""ARX1200T3, ARX1200N3 & T2""",STEERING CABLE,2003-08-01
020094S,MPC,MAINSHIP CORP,SEVERAL,ELECTRICAL SYSTEM,2002-07-12
000078T,,MERCURY MARINE,MERCRUISER HP900 SC,FUEL LINE MAY CRACK,2002-03-12
01R0337S,MBZ,MB SPORTS,220,FUEL FILL NOT GROUNDED,2002-09-09
020071T,ZZN,BOMBARDIER LTD,SEA-DOO GTX -4TEC,ENGINE; GASOLINE,2002-04-09
000217T,JTC,CROWNLINE BOATS INC,VARIOUS - SEE COMMENTS,FUEL TANK - SENDING UNIT,2002-05-06
020078S,,CRUSADER ENGINES,8.1 MPI AND 8.1 MPI HO,ELECTRICAL GROUND,2002-09-05
01R0419S,HVT,HOVERTECHNICS INC,HOVERTOUR 1000,FUEL CONNECTIONS,2002-09-03
000202T,PCM,PLEASURECRAFT MARINE ENGINE,ENGINE,ELECTRICALCIRCUIT BREAKER,2002-06-03
01R0410S,NRB,NORTH RIVER JET BOATS INC,SPORTSTER,LABEL BLOWER WARNING,2002-05-03
01R0411S,RNA,KAL KUSTOM INC,185 & BREEZE,LABEL; BLOWER WARNING,2002-04-03
001053S,WPD,WAGNER POWER BOATS,13 CC,SAFE LOADING MAX WT,2002-12-02
02R0277S,GLE,GLOBAL MARINE POWER,344 CHEETAH,LABEL BLOWER WARNING,2002-08-02
001020S,BOS,THE BOAT SHOP,KEN 14,SAFE LOADING MAX WT,2002-04-02
020073T,ZZN,BOMBARDIER LTD,5711/5721/5722/5723/5724/5725,ENGINE; GASOLINE,2002-05-01
990116T,,AMERICAN SUZUKI MTR CORP,DF 60 & DF 70 O/B,SHIFT LINKAGE,2001-07-11
980044T,,MERCURY MARINE,SPORT JET 175XR2 PUMP,ENGINE NOZZLE ASSY SCREWS,2001-06-07
990151T,MBC,MASTERCRAFT BOAT CO,MARISTAR; PROSTAR; X-STAR,FUEL TANK CHAFING,2001-09-04
000160T,CDR,CARVER BOAT CORPORATION,396 MOTOR YACHT,HULL DECK JOINT SEAL,2001-08-03
010047T,TKZ,STARDUST CRUISERS,VARIOUS,ELECTRICAL SYSTEM,2001-05-02
990056S,BC1,BACK COUNTRY BY CHAMPION,151/171/201 PRO GUIDE & 161 GHOS,HIN INCORRECT FORMAT,2000-04-12
000096T,HWS,SABRE CORPORATION,SABRE 402,BOOM COULD FAIL,2000-01-12
981570S,OTO,SALT MARSH INDUSTRIES,180 EAGLE,LEVEL FLOTATION,2000-10-09
000069T,CEC,BOMBARDIER MOTOR CORP OF AMER,SPEEDSTER CHALLENGER ISLANDIA,THROTTLE STICKING,2000-08-09
981571S,OTO,GLOUCESTER FIBERGLASS,164 EAGLE,SAFE LOADING,2000-06-09
990014S,BIY,BAYLINER MARINE CORP,CAPRI 1804 PC,LEVEL FLOTATION,2000-11-08
990015S,BL1,BAYLINER MARINE CORP,CAPRI 2350 BC&BD/2352BF,VENTILATION,2000-11-08
980056S,CCB,CHRIS CRAFT BOATS,25/26 CROWNE & 260 EXPRESS CRUIS,VENTILATION,2000-11-08
950226T,FWN,FOUR WINNS (OMC),"""170H, 190H, 192, 200H""",FUEL FILL FITTING CRACKS,2000-11-08
000109T,HUN,HUNTER MARINE CORP,ALURA 35,FUEL TANK - CORROSION,2000-06-08
000087T,ZZN,"""BOMBARDIER, INC.""",GTX AND GTX RFI,VENTILATION SYSTEM LOOKS,2000-08-07
000145T,ZZN,"""BOMBARDIER, INC.""",SEA DOO (SEE BELOW),STICKING THROTTLE CONTROL,2000-08-07
000124T,ZZN,BOMBARDIER INC,SEA DOO RX 5513 AND 5514,SPONSONS MAY LOOSEN,2000-07-07
000125T,ZZN,BOMBARDIER INC,SEA DOO RX DI AND GTX DI,FUEL SYSTEM,2000-07-07
000201T,ARJ,ARCTIC CAT INC,DAYTONA & MONTE CARLO,FUEL FILLER NECK CRACKING,2000-09-06
971535S,CFC,STINGER BOATS OF CHARLST.INC.,160 STINGER,LEVEL FLOTATION,2000-03-06
000023S,SSU,TIARA YACHTS,VARIOUS,FUEL TANK LEAKS,2000-08-03
990025S,FGE,COBALT BOATS,,ELECTRICAL - GROUND,2000-03-03
940307T,,MERCURY MARINE,MCM V8 STERN DRIVE ENGINE,FUEL FILTER CORROSION,2000-08-02
980151T,KAW,KAWASAKI MOTORS CORP USA,JS-750 C1,STEERING,2000-02-02
000009S,BLG,BAYLINER MARINE CORP,CIERA 2455SK,LABEL; CERTIFICATION,2000-02-02
990192T,PLC,PRO-LINE BOATS INC,ALL 2000 MODEL YEAR,ELECTRICAL SYSTEM,2000-06-01
951419S,MJI,DYNASTY BOATS INC,PS1780,LEVEL FLOTATION,1999-03-11
980036S,SFP,SUNBIRD BOAT CO INC,NEPTUNE 180 & 181,LABEL - CAPACITY TO HIGH,1999-12-10
991648s,RGA,R.B. RODGERS YACHT SALES,BABY FUN,SAFE LOAD: MAX WGT,1999-11-09
970086S,BNZ,STRATOS BOATS INC,HYDRA-SPORT (SEE NEXT PAGE),LEVEL FLOTATION,1999-08-09
990182S,,MARINE POWER,INBOARD ENGINE,IGNITION PROTECTION,1999-12-08
980233T,PLC,PRO-LINE BOATS INC,,ELECTRICAL BOARD MAY OVER,1999-06-08
980072S,DCA,DURACRAFT MARINE CORPORATION,1436 LHCR,LABEL - CAPACITY WRONG,1999-04-08
980006S,SMK,SMOKER-CRAFT INC,161 PRO MAG,SAFE LOAD,1999-10-07
960067S,KAY,HARRIS-KAYOT INC,22 FT SUPERDEK/ULTRADEK,LABEL - BLOWER WARNING,1999-10-07
971562S,MGI,ASTRO/PROCRAFT BOATS,1450,SAFE LOAD,1999-06-07
970084T,FIN,FINELINE INDUSTRIES INC,SKI BOAT,STEERING - RUDDER BREAKS,1999-04-07
980127T,HUN,HUNTER MARINE CORP,170 DAYSAILER,RUDDER HEAD ASSEMBLY,1999-01-06
981607S,SIY,SALTY BOATS OF MAINE,14 CC GREAT BAY,LEVEL FLOTATION,1999-05-05
961488S,OMC,OUTBOARD MARINE CORP,15' SPORTBOAT,LEVEL FLOTATION,1999-08-04
981595S,TFT,FIBERPLEX BOAT WORKS,8' TUFFY TENDER,SAFE LOADING,1999-01-04
950225T,RNK,RINKER BOAT CO INC,,FUEL FILL FITTING CRACKS,1999-01-04
970111T,FIW,FIBER SPORT INC,"""267, 267F/S, 252 262""",STEERING,1999-08-03
971545S,STR,STARCRAFT MARINE LLC,12 SK,SAFE LOAD: MAX WT,1999-08-03
980223T,MPC,MAINSHIP CORP,30 PILOT AND 350 TRAWLER,ELECTRICAL,1999-02-03
980224T,LHR,LUHRS,36 SX EX AND 36 CVT,ELECTRICAL,1999-02-03
981574S,YSI,SEMINOLE MARINE,174CC,LEVEL FLOTATION,1999-11-02
980173T,HQZ,U.S. COAST GUARD HEADQUARTERS,4.5 BCGTC 4.5 BCGTE 7.2 BCTGE &,ELECTRICAL - SHORT,1999-11-01
980155T,AQA,AQUASPORT DIVISION,215 DUAL CONSOLE,SKI PYLON CAN BREAK,1999-01-01
950264T,TII,TRITON INDUSTRIES INC,MANITOU PONTOON BOATS,FUEL FILL FITTING CRACKS,1998-08-11
961497S,SFP,SUNBIRD BOAT CO INC,NEPTUNE 160,SAFE LOAD: MAX PERS,1998-07-10
960111S,GLA,GLASTRON INC,SE-170,LEVEL FLOTATION,1998-06-10
960050T,LAR,LARSON BOATS,280 & 310 CABRIO,ELECTRICAL - GEN WIRING,1998-06-10
941331S,CHQ,CHALLENGER BOATS,1740 BASS,SAFE LOAD: PERS WT,1998-03-10
981577S,PCK,PACKARD INC,SPORT DINGHY,SAFE LOADING,1998-12-09
950242T,SMK,SMOKER-CRAFT INC,VARIOUS WITH MIC SMK/SYL,FUEL FILL FITTING CRACKS,1998-09-09
950160T,FIW,FIBER SPORT INC,185 & 210 PROMASTER,FUEL FILL FITTING CRACKS,1998-09-09
970117T,HWS,SABRE CORPORATION,SABRE 362,STEERING RUDDER STOCK FAI,1998-06-09
930262S,CLC,CELEBRITY BOATS INC,1900 CC FISH HAWK,LEVEL FLOTATION STABILITY,1998-09-08
971565S,SVT,SUNDANCE BOAT INC,V150,SAFE LOAD: PERS WGT,1998-05-08
961458S,SVT,SUNDANCE BOATS INC,F-160,LEVEL FLOTATION,1998-05-07
971508S,SLP,SCOUT BOATS INC,162 SCOUT,SAFE LOAD: PERS WGT,1998-05-07
960125T,OMC,OUTBOARD MARINE CORP,25 & 35 HP OUTBOARD MOTORS,TILT LOCK NUT TORQUE,1998-11-06
950359T,,,FORCE/GAMEFISHER/ZODIAC,FLYWHEEL HUB,1998-05-06
970059T,HQZ,MERCURY MARINE,,FAULTY FLAME ARRESTOR,1998-05-06
950333T,,,,ELECTRICALGROUND,1998-05-06
950358T,,,MARATHON AND SEAPRO,START IN GEAR,1998-05-06
950360T,,,MERCURY AND MARINER O/B,FLYWHEEL RING GEAR,1998-05-06
961438S,TOR,THOMAS MARINE,160 PREDATOR,LEVEL FLOTATION,1998-04-06
940206T,GAE,N & N MARINE INC,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1998-01-06
940235T,RSB,SMOKER-CRAFT,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1998-01-06
971516S,GBC,GREGOR BOAT COMPANY,EAGLE,SAFE LOAD:PERS,1998-11-05
971527S,CPR,FULLOUT BOATS LLC,SEA SKATE,SAFE LOAD,1998-11-05
950138T,TSB,CHAMPION BOATS,VARIOUS,FUEL FILL FITTING CRACKS,1998-05-05
971521S,ANF,AMERICAN SAIL INC,10' PENNANT DAY SAILOR,SAFE LOADING: PER WGT,1998-05-05
941332S,WEC,CONNERY,FLATS KING,LEVEL FLOTATION,1998-03-05
951381S,ZEF,D.B.R. SPORTS INC,12 FT NIGHTFLY,LEVEL FLOTATION,1998-03-05
950163T,RNG,RANGER BOATS,"""REBEL 158/1585, 397 S/XT""",FUEL FILL FITTING CRACKS,1998-05-04
950147T,XDC,ZODIAC OF NORTH AMERICA,,FUEL FILL FITTING CRACKS,1998-05-04
950192T,GLA,GLASTRON INC,GS160/180/185/187/205/207,FUEL FILL FITTING CRACKS,1998-05-04
950198T,MBV,MASTERCRAFTERS INC,155/170/1700/180,FUEL FILL FITTING CRACKS,1998-05-04
950121T,DVN,PLAYBUOY PONTOON MFG INC,,FUEL FILL FITTING CRACKS,1998-05-04
950155T,ETC,EBBTIDE CORP,RX19 JET,FUEL FILL FITTING CRACKS,1998-05-04
960046T,CTC,CORRECT CRAFT INC,94 AND 95 MODELS WITH EFI,FUEL TANK GASKET,1998-12-03
971507S,BWC,BOSTON WHALER INC,15' DAUNTLESS,SAFE LOAD: PERS WT,1998-04-03
951390S,PNS,BLAZER BOATS INC,VLX 150 BASS BOAT,LEVEL FLOTATION,1998-03-03
980210T,MNX,STARCRAFT MARINE LLC,PONTOON,NAV LIGHTS - GLOW BLUE,1998-12-02
961433S,FIW,FIBER SPORT INC,SPRINT 267,LEVEL FLOTATION,1998-10-01
980049T,MPC,MAINSHIP CORP,34 MOTOR YACHT,FUEL SYSTEMS,1998-10-01
970122T,AGC,BAJA BOATS INC,MODELS WITH CAPTAINS CALL WIRING,ELECTRICAL WIRING TOO,1998-06-01
961469S,MKC,MCKEE CRAFT,16' WACCAMAW,SAFE LOAD: PERS WT,1998-05-01
961467S,YAR,YAR-CRAFT INC,1778 WALLEYE WINNEBAGO,HORSEPOWER,1997-08-12
960086T,PCM,PLEASURECRAFT MARINE ENGINE,GM 5.7 TBI ENGINES,ELECTRICAL WIRING HARNESS,1997-12-11
950354T,,,MERCRUISER STERN DRIVE,POTENTIAL FUEL LEAK,1997-12-10
950356T,,,MERCRUISER STERN DRIVE,RF FILTER FOR FUEL PUMP,1997-12-10
960027T,CDR,CARVER BOAT CORP,SANTEGO/EXPRESS/AFT CABIN,FUEL TANK GASKET,1997-12-10
951357S,ZZA,PRODUITS NAUTIQUES ALTRA INC,PRO 142 BT,LEVEL FLOTATION,1997-12-10
950361T,,,MERCRUISER STERN DRIVE,FUEL FILTER LEAK,1997-12-10
950119T,ANP,ANCHOR INDUSTRIES INC,SKIDECK XLS,FUEL FILL FITTING CRACKS,1997-07-10
961498S,KME,TRI-STATE CUSTOM FBGLS INC,16' C-HAWK,LEVEL FLOTATION,1997-06-10
950293T,PLE,POLARIS INDUSTRIES LP,ALL 1995 PWC,STEERING,1997-12-09
950114T,ALP,ALUMA CRAFT BOAT CO.,TROPHY 190,FUEL FILL FITTING CRACKS,1997-12-09
950127T,BNZ,STRATOS BOATS INC,1600 & 1700 SPORTSMAN,FUEL FILL FITTING CRACKS,1997-12-09
940136T,,,SPORT JET 90 ENGINE,JET DRIVE REVERSE GATE,1997-12-09
950109T,CCC,CHRIS-CRAFT CORP,18GZ,FUEL FILL FITTING CRACKS,1997-12-09
950187T,JDT,JETCRAFT BOATS INC,OUTBOARDS,FUEL FILL FITTING CRACKS,1997-12-09
940135T,,,SPORT JET 90 ENGINE,SHIFT CABLE,1997-12-09
950171T,GDY,GODFREY MARINE COMPANY,VARIOUS SEE REMARKS,FUEL FILL FITTING CRACKS,1997-12-09
950161T,FGB,CHAPARRAL BOATS INC,"""1935SS, 2135SS, 2335SS""",FUEL FILL FITTING CRACKS,1997-09-09
920416T,SER,SEA RAY BOATS INC,SPORT BOATS 24' & LESS,FUEL LEAKAGE,1997-07-09
960033T,HUN,HUNTER MARINE CORP,H-280,ELECTRICAL - SHOCK HAZARD,1997-08-05
950238T,YMC,DELTA STAR INDUSTRIES INC,DS-100,FUEL FILL FITTING CRACKS,1997-02-05
961484s,EKH,CAROLINA SKIFF,LIL JON 12,LEVEL FLOTATION,1997-02-05
950118T,AFP,ANCHOR INDUSTRIES INC,HYDROFORCE,FUEL FILL FITTING CRACKS,1997-11-03
950263T,BUJ,"""TRACKER MARINE, L.P.""",160-TF,FUEL FILL FITTING CRACKS,1997-09-02
960112T,,,NC ENGINES SEE REMARKS FOR LIST,FUEL VAPOR SEPARATOR BOLT,1997-08-01
961490S,BUJ,"""TRACKER MARINE, L.P.""",SUPER GV14T OPEN FISH,LEVEL FLOTATION,1997-07-01
951358S,OHD,PLAYTIME MANUFACTURING,16' BOW RIDER,LEVEL FLOTATION,1997-05-01
961475s,EKH,CAROLINA SKIFF,V1965 19' OPEN FISHERMAN,SAFE LOAD: PERS WT,1997-03-01
950159T,KWE,KEY WEST BOATS INC,2300 C,FUEL FILL FITTING CRACKS,1996-11-12
941316S,RFK,VIPER BOATS INC,1700 VIPER,LEVEL FLOTATION: FAILED,1996-06-12
950129T,BWC,BOSTON WHALER INC,"""18' RAGE, 17' DAUNTLESS""",FUEL FILL FITTING CRACKS,1996-10-10
951373s,MDT,BUMBLE BEE BOATS,V-15,LEVEL FLOTATION,1996-10-10
941291S,HII,K L INDUSTRIES,PRO 120 SUN DOLPHIN,SAFE LAOD MAX PERS MAX WT,1996-04-09
950223T,RGM,REGAL BOATS,,FUEL FILL FITTING CRACKS,1996-02-09
920058T,,,GENERATION 5 GMC BLOCK,FUEL FILTER TO LONG,1996-08-08
920280T,,,MCM 4.3L/4.3LX ENGINES,ELECTRICAL DISTR CAP SEAL,1996-08-08
950104T,SZJ,SUMERSET HOUSEBOATS,HOUSEBOATS - ALL MODELS,ELECTRICAL AC STRAY CURR,1996-10-07
940253T,BWC,BOSTON WHALER INC,VARIOUS,STEERING BINDING CLUTCH,1996-05-07
950183T,BSV,J C MFG INC,,FUEL FILL FITTING CRACKS,1996-12-06
941341S,ESJ,EUROSPORT MARINE PROD. INC.,GLASSTAR 155 PRO BASS,LEVEL FLOATATION,1996-08-06
950222T,RZT,T & S BOATS INC,"""162, 186, 190XL""",FUEL FILL FITTING CRACKS,1996-03-06
950246T,SPJ,SPRINT INC,RM 21,FUEL FILL FITTING CRACKS,1996-03-06
951389S,FWZ,FIBERGLASS WORKS INC,ARIES 160 BASS BOAT,LEVEL FLOTATION,1996-03-06
951408S,DOR,C-DORY INC,14 GREEN ANGLER,LEVEL FLOTATION,1996-03-04
940120T,4WN,FOUR WINNS INC,180FREEDOM/190HORIZON,FUEL TANK PSSIBLE LEAK,1996-01-04
930153S,HSX,HYDRA-SPORTS INC,16.17' X-260 BASS BOAT,LEVEL FLOTATION,1996-09-03
950101S,HAM,HARRIS-KAYOT INC,LEGEND & ULTRACAT,VENTILATION - BLOWER,1996-09-03
951428S,BNZ,STRATOS BOATS INC,1900 SP,SAFE LOAD: PERS WT,1996-08-02
950217T,PMY,"""PREMIER MARINE, INC.""",ALL MODELS,FUEL FILL FITTING CRACKS,1996-04-01
950282T,MBC,MASTERCRAFT BOAT CO,MARISTAR 200 VRS,FUEL TANK CHAFING,1996-04-01
950158T,FAB,FABBRO MARINE GROUP,,FUEL FILL FITTING CRACKS,1996-02-01
940122T,4WN,FOUR WINNS INC,FOUR WINNS FLING,NON IGN PROTECT BATT TERM,1996-02-01
940121T,OBG,OMC BOAT GROUP,"""FLING,SEASWIRL,SUNBIRD""",FUEL PRIME BULB NONCOMPL.,1996-01-01
940220S,CEM,COLE BOATS,22.4 SKIER I/O BOWRIDER,FUEL HOSE NOT USCG,1995-01-12
930258S,LBV,T. D. PENNY COMPANY,SPORT III FISHING BOAT,LEVEL FLOTATION,1995-05-11
930138T,MBV,MASTERCRAFTERS INC,,STEERING; TELEFLEX HELM,1995-05-11
940203T,CHK,CHECKMATE BOATS,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1995-03-10
951385S,BEB,BEACON BOATS,9'LYNX,LEVEL FLOTATION,1995-11-09
940250S,MJK,MAJEK BOATWORKS INC,16 TEXAS & 18 RED FISH,LABEL PERSONS CAP MISSING,1995-05-09
950202T,MVO,MITCHELL MANUFACTURING CO,1830 BASS 1900BR 190CC,FUEL FILL FITTING CRACKS,1995-11-08
950071T,,OUTBOARD MARINE CORP,STEERING WHEEL,STEERING WHEELS BREAK,1995-08-08
941335S,PXK,PRO-SPORTS BOATS INC,1600 FF FLATS BOAT,SAFE LOAD MAX PERS & WT,1995-07-07
930134T,LUN,LUND BOAT DIVISION,,STEERING; TELEFLEX HELM,1995-11-06
930137T,RNG,RANGER BOATS,,STERRING; TELEFLEX HELM,1995-11-06
941321S,AHF,"""AMERICAN SKIFF, INC.""",AMERICAN 15,LEVEL FLOTATION,1995-01-05
940223T,MJG,MID-JET INC,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1995-08-04
941289S,EFD,EASTERN FIBERGLASS INC.,SOUTHERN SKIMMER,STABILITY STARBOARD,1995-05-04
951371S,GUF,GULFLINE BOATS,1800 USF CC,LEVEL FLOTATION,1995-11-03
941323S,BUS,RODEO U.S.A.,16.44' 160 XL,SAFE LOADING MAX PERSONS,1995-10-03
941317S,FIW,FIBER SPORT INC,SPRINT 255,LEVEL FLOTATION,1995-05-03
930182S,MRR,NORTHPORT INC,MV542-15,LEVEL FLOTATION STABILITY,1995-04-03
940269S,DNA,DONZI MARINE,152 MEDALLION,NON IGN PROTECT NO BOOT,1995-02-03
940232T,PIO,"""SEA-PRO BOATS, INC""",ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1995-01-03
950330S,OHD,PLAYTIME MANUFACTURING,1600 R/B,LEVEL FLOTATION,1995-10-02
930264S,IRM,IRVETTE MARINE,SUNMATE 16',LEVEL FLOTATION STABILITY,1995-02-02
941260S,BRA,BRYANT BOATS INC,170 BOWRIDER,SAFE LOAD MAX PERS,1995-05-01
930181S,DDT,DIAMOND CRAFT BOAT CO,17' DIAMOND CRAFT,LEVEL FLOTATION,1994-12-12
920367S,XBW,OZARK BOAT WORKS,16.87' DB18 MINI CRUISER,SAFE LOAD MAX PERSONS,1994-01-11
920353S,TGF,TWO GUYS FABRICATION,16' GUIDE SLED,LEVEL FLOTATION,1994-01-10
941288S,TSB,CHAMPION BOATS,156 CONTENDER,SAFE LOAD; PERS WT.,1994-12-09
920420T,4WN,FOUR WINNS INC,"""315 VISTA, 325 EXPRESS""",CO INTRUSION,1994-06-09
930074T,BNZ,STRATOS BOATS INC,STRATOS 250V,FUEL TANK COMPARTMENT,1994-06-08
930162S,VXP,SEASQUIRT,16.87' SEA STRIKE 17CC,LEVEL FLOTATION,1994-01-06
940222T,CCM,HOBIE CAT,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1994-10-05
920544S,XXN,SEA-N-SPORT BOAT CO,"""15,93 SKINNY WATER 16""",LEVEL FLOTATION,1994-09-01
920305S,XXN,SEA-N-SPORT BOAT CO,160 GULL WING,LEVEL FLOTATION STABILITY,1994-09-01
920365S,AWB,ALUMAWELD BOATS,FORMULA V RIVER SLED,LEVEL FLOTATION STABILITY,1993-01-12
920339T,BUJ,"""TRACKER MARINE, L.P.""",MAGNA/PRO/SUPER/SWEET,SEATS PEDESTAL BASE,1993-08-11
920351S,AWB,ALUMAWELD BOATS,19' SEA DORY,LEVEL FLOTATION,1993-07-10
920371S,HEW,HEWES MARINE CO,14' RIVER RUNNER,LEVEL FLOTATION,1993-01-10
920345S,AUC,ALUMINUM MRNE CONS INC,17' NEWSOUNDER,LEVEL FLOTAION,1993-04-05
920109S,SMK,SMOKER-CRAFT,"""05-102-91,05-102-91PCO,""",LIGHT NO FUSE STERN LT,1993-01-05
920352S,RGM,REGAL BOATS,17' VALIANTI DBR,SAFE LOAD MAX PERSONS,1993-06-04
920002S,OMC,OUTBOARD MARINE CORP,232 CROWNE,NON IGNITION PROTECTED,1993-03-04
920297S,SMK,SMOKER-CRAFT,15' RESORTER,HORSEPOWER OVERRATED,1993-06-03
920542T,,,CONTROL CABLES,STEERING CABLE COULD BREA,1992-11-03
930154S,APQ,THE ARTISANS SCHOOL,SUSAN SKIFF,SAFE LOADING MAX PERS,1992-12-01
920368S,XSB,OSBORN BOATS-MAR INC,F-170-92 FLATS BOAT,LEVEL FLOTATION,1992-10-01
900915S,GAO,MOORE'S PRO GATOR MFG,169V,"MAX PERSONS, MAX WEIGHT",1991-04-01
